id,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,life.form,habitat,vegetation.type,domain,corrected.name
604559,Fritzschia sertularia (Schrank & Mart. ex DC.) M.J.R.Rocha & P.J.F.Guim.,NA,Melastomataceae,species,accepted,Fritzschia sertularia,NA,,Fritzschia sertularia,Subarbusto,Terrícola,Campo Limpo|Campo rupestre|Cerrado (lato sensu),Cerrado|Mata Atlântica,Fritzschia sertularia
NA,NA,NA,NA,NA,NA,NA,NA,not found,Fritzschia sessile,NA,NA,NA,NA,Fritzschia sessilis
NA,NA,NA,NA,NA,NA,NA,NA,not found,Fritzschia sessilis microcarpa,NA,NA,NA,NA,Fritzschia sessilis
604560,Fritzschia sessilis (Spreng.) M.J.R.Rocha & P.J.F.Guim.,NA,Melastomataceae,species,accepted,Fritzschia sessilis,NA,,Fritzschia sessilis,Subarbusto,Terrícola,Campo Limpo|Campo rupestre|Cerrado (lato sensu),Cerrado|Mata Atlântica,Fritzschia sessilis
NA,NA,NA,NA,NA,NA,NA,NA,not found,Fritzschia stenodon major,NA,NA,NA,NA,Fritzschia stenodon
604561,Fritzschia stenodon (Naudin) M.J.R.Rocha & P.J.F.Guim.,NA,Melastomataceae,species,accepted,Fritzschia stenodon,NA,,Fritzschia stenodon,Subarbusto,Terrícola,Campo Limpo|Campo rupestre|Cerrado (lato sensu),Cerrado,Fritzschia stenodon
NA,NA,NA,NA,NA,NA,NA,NA,not found,Fritzschia violacea,NA,NA,NA,NA,NA
19634,Macairea radula (Bonpl.) DC.,NA,Melastomataceae,species,accepted,Macairea radula,NA,replaced synonym,Macairea adenostemon,Arbusto|Árvore|Subarbusto,Terrícola,Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Restinga,Amazônia|Caatinga|Cerrado|Mata Atlântica,Macairea radula
19633,Macairea pachyphylla Benth.,NA,Melastomataceae,species,accepted,Macairea pachyphylla,NA,replaced synonym,Macairea calvescens,Arbusto|Árvore,Terrícola,Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme,Amazônia|Cerrado,Macairea pachyphylla
19634,Macairea radula (Bonpl.) DC.,NA,Melastomataceae,species,accepted,Macairea radula,NA,replaced synonym,Macairea goyazensis,Arbusto|Árvore|Subarbusto,Terrícola,Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Restinga,Amazônia|Caatinga|Cerrado|Mata Atlântica,Macairea radula
19633,Macairea pachyphylla Benth.,NA,Melastomataceae,species,accepted,Macairea pachyphylla,NA,replaced synonym,Macairea hoehnei,Arbusto|Árvore,Terrícola,Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme,Amazônia|Cerrado,Macairea pachyphylla
19634,Macairea radula (Bonpl.) DC.,NA,Melastomataceae,species,accepted,Macairea radula,NA,replaced synonym,Macairea macedoi,Arbusto|Árvore|Subarbusto,Terrícola,Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Restinga,Amazônia|Caatinga|Cerrado|Mata Atlântica,Macairea radula
19634,Macairea radula (Bonpl.) DC.,NA,Melastomataceae,species,accepted,Macairea radula,NA,replaced synonym,Macairea mosenii,Arbusto|Árvore|Subarbusto,Terrícola,Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Restinga,Amazônia|Caatinga|Cerrado|Mata Atlântica,Macairea radula
85314,Macairea multinervia Benth.,NA,Melastomataceae,species,accepted,Macairea multinervia,NA,,Macairea multinervia,Arbusto|Subarbusto,Terrícola,Floresta de Terra Firme|Floresta de Várzea,Amazônia,Macairea multinervia
NA,NA,NA,NA,NA,NA,NA,NA,not found,Macairea neblinae,NA,NA,NA,NA,Macairea neblinae
19633,Macairea pachyphylla Benth.,NA,Melastomataceae,species,accepted,Macairea pachyphylla,NA,,Macairea pachyphylla,Arbusto|Árvore,Terrícola,Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme,Amazônia|Cerrado,Macairea pachyphylla
19634,Macairea radula (Bonpl.) DC.,NA,Melastomataceae,species,accepted,Macairea radula,NA,,Macairea radula,Arbusto|Árvore|Subarbusto,Terrícola,Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Restinga,Amazônia|Caatinga|Cerrado|Mata Atlântica,Macairea radula
NA,NA,NA,NA,NA,NA,NA,NA,not found,Macairea rosea,NA,NA,NA,NA,Macairea thyrsiflora
598408,Macairea rufescens DC.,NA,Melastomataceae,species,accepted,Macairea rufescens,NA,,Macairea rufescens,Arbusto,NA,NA,Amazônia,Macairea rufescens
19634,Macairea radula (Bonpl.) DC.,NA,Melastomataceae,species,accepted,Macairea radula,NA,replaced synonym,Macairea sericea,Arbusto|Árvore|Subarbusto,Terrícola,Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Restinga,Amazônia|Caatinga|Cerrado|Mata Atlântica,Macairea radula
115263,Macairea spruceana O.Berg ex Triana,NA,Melastomataceae,species,accepted,Macairea spruceana,NA,,Macairea spruceana,Arbusto,Terrícola,Campo de Várzea|Floresta de Terra Firme|Floresta de Várzea,Amazônia,Macairea spruceana
85319,Macairea stylosa Triana,NA,Melastomataceae,species,accepted,Macairea stylosa,NA,,Macairea stylosa,Arbusto|Árvore,Terrícola,Campo de Várzea|Floresta de Igapó,Amazônia,Macairea stylosa
85320,Macairea theresiae Cogn.,NA,Melastomataceae,species,accepted,Macairea theresiae,NA,,Macairea theresiae,Arbusto|Árvore,Terrícola,Campinarana|Campo de Várzea|Floresta de Terra Firme,Amazônia,Macairea theresiae
23724,Macairea thyrsiflora DC.,NA,Melastomataceae,species,accepted,Macairea thyrsiflora,NA,,Macairea thyrsiflora,Arbusto|Subarbusto,Terrícola,Campinarana|Campo de Várzea|Cerrado (lato sensu),Amazônia|Cerrado,Macairea thyrsiflora
NA,NA,NA,NA,NA,NA,NA,NA,not found,Macairea undesignated,NA,NA,NA,NA,NA
30702,Marcetia acerosa Schrank & Mart. ex DC.,NA,Melastomataceae,species,accepted,Marcetia acerosa,NA,,Marcetia acerosa,Arbusto|Subarbusto,Terrícola,Campo de Várzea|Campo rupestre,Cerrado,Marcetia acerosa
19635,Marcetia alba Ule,NA,Melastomataceae,species,accepted,Marcetia alba,CR,,Marcetia alba,Subarbusto,Rupícola,Campo rupestre,Caatinga,Marcetia alba
19636,Marcetia bahiana (Ule) A.B.Martins,NA,Melastomataceae,species,accepted,Marcetia bahiana,EN,,Marcetia bahiana,Subarbusto,Rupícola,Campo rupestre|Cerrado (lato sensu),Caatinga,Marcetia bahiana
19637,Marcetia bahiensis (Brade & Markgr.) Wurdack,NA,Melastomataceae,species,accepted,Marcetia bahiensis,NA,,Marcetia bahiensis,Arbusto|Subarbusto,Rupícola|Terrícola,Campo de Altitude|Campo rupestre|Cerrado (lato sensu),Caatinga|Cerrado,Marcetia bahiensis
105193,Marcetia bracteolaris (Schrank & Mart. ex DC.) O.Berg. ex Cogn.,NA,Melastomataceae,species,accepted,Marcetia bracteolaris,DD,,Marcetia bracteolaris,Arbusto,Terrícola,Campo rupestre|Cerrado (lato sensu),Caatinga|Cerrado|Mata Atlântica,Marcetia bracteolaris
106876,Marcetia candolleana A.K.A.Santos A.B.Martins,NA,Melastomataceae,species,accepted,Marcetia candolleana,NA,,Marcetia candolleana,Arbusto|Subarbusto,Terrícola,Campo rupestre,Caatinga,Marcetia candolleana
19638,Marcetia canescens Naudin,NA,Melastomataceae,species,accepted,Marcetia canescens,NA,,Marcetia canescens,Arbusto|Erva|Subarbusto,Terrícola,Campo rupestre|Cerrado (lato sensu),Caatinga|Cerrado,Marcetia canescens
