datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2019-10-09 11:09:02-03"	UFBA	ALCB	115406	"Minaria decussata"	PreservedSpecimen	Plantae	Dicotyledon			Apocynaceae	Minaria	decussata		"(Mart.) Konno & Rapini"	"Rapini, A"	2014	08			22142		"Guedes, ML; Roque, N; Campos, L; Gandara, A"	2014	08	06			"Southern America"	Brasil	Bahia	"Licínio de Almeida"	Cascarento.	-42.5575	-14.553889					983	983									"látex leitoso. Folhas cartáceas, discolores."	
"2019-10-09 11:09:02-03"	UFBA	ALCB	115449	"Minaria decussata"	PreservedSpecimen	Plantae	Dicotyledon			Apocynaceae	Minaria	decussata		"(Mart.) Konno & Rapini"	"Rapini, A"	2014	08			22185a		"Guedes, ML; Roque, N; Campos, L; Gandara, A"	2014	08	07			"Southern America"	Brasil	Bahia	"Licínio de Almeida"	"Trilha para Riacho de Areia."	-42.576111	-14.759167					1131	1131									"de ca 20 cm de altura, latescente. Folhas membranáceas. Frutos imaturos verdes."	
"2020-07-23 11:58:26-03"	CEPLAC	CEPEC	100699	"Minaria acerosa"	PreservedSpecimen	Plantae				Asclepiadaceae	Minaria	acerosa			"A. Rapini"					733		"N. Roque"	1966	06	01				Brasil	Bahia	palmeiras	"Chapada Diamantina Ca. 33Km de Seabra - Estrada para Morro do Camelo."	-41.478056	-12.424167														30/12/2006		
"2020-07-23 11:58:26-03"	CEPLAC	CEPEC	102047	"Minaria acerosa"	PreservedSpecimen	Plantae				Asclepiadaceae	Minaria	acerosa			"A. Rapini"					5		"B. A. Xavier"	2003	04	28				Brasil	Bahia	CAETITÉ	"Serra Geral. Estrada para Brejinho das Ametistas. Ca. 15Km de Caetité."	-42.505278	-14.184444														30/12/2006		
"2020-07-23 11:58:26-03"	CEPLAC	CEPEC	12488	"Minaria acerosa"	PreservedSpecimen	Plantae				Asclepiadaceae	Minaria	acerosa			"A. Rapini"					16795		"R. M. Harley"	1974	03	05				Brasil	Bahia	"SENTO SÉ"	"8Km NW Lagoinha (5.5Km SW Delfino), Rod. p/ Minas do Mimoso."	-41.283333	-10.4														30/12/2006		
"2020-07-23 11:58:26-03"	CEPLAC	CEPEC	19588	"Minaria acerosa"	PreservedSpecimen	Plantae				Asclepiadaceae	Minaria	acerosa			"A. Rapini"					20050		"R. M. Harley"	1977	03	27				Brasil	Bahia	"RIO DE CONTAS"	"5Km a E da Vila do Rio de Contas, Rod. p/ Marcolino Moura."	-41.8	-13.583333														30/12/2006		
"2020-07-23 11:58:26-03"	CEPLAC	CEPEC	41364	"Minaria acerosa"	PreservedSpecimen	Plantae				Asclepiadaceae	Minaria	acerosa			"A. Rapini"					20050		"R. M. Harley"	1977	03	27				Brasil	Bahia	"RIO DE CONTAS"	"5Km a E da Vila do Rio de Contas, Rod. p/ Marcolino Moura."	-41.8	-13.583333														30/12/2006		
"2020-07-23 11:58:26-03"	CEPLAC	CEPEC	58587	"Minaria acerosa"	PreservedSpecimen	Plantae				Asclepiadaceae	Minaria	acerosa			"A. Rapini"					2653		"L. P. de Queiroz"	1992	02	15				Brasil	Bahia	MUCUGÊ	"Ca. 16Km ao NW de Mucugê, na estrada para Boninal."	-41.471389	-12.975														30/12/2006		
"2020-07-23 11:58:26-03"	CEPLAC	CEPEC	77793	"Minaria acerosa"	PreservedSpecimen	Plantae				Asclepiadaceae	Minaria	acerosa			"A. Rapini"					5755		"S. Atkins"	1997	02	16				Brasil	Bahia	"BARRA DA ESTIVA"	"Torre da Telebahia."	-41.316667	-13.690833														30/12/2006		
"2020-07-23 11:58:26-03"	CEPLAC	CEPEC	80254	"Minaria acerosa"	PreservedSpecimen	Plantae				Asclepiadaceae	Minaria	acerosa			"A. Rapini"					56761		"G. Hatschbach"	1992	04	07				Brasil	Bahia	"RIO DE CONTAS"	"Rod. p/ povoado de Mato Grosso."	0	0	-41.8114013671875	-13.5789003372192	49773											30/12/2006		
"2020-07-23 11:58:26-03"	CEPLAC	CEPEC	84049	"Minaria acerosa"	PreservedSpecimen	Plantae				Asclepiadaceae	Minaria	acerosa			"A. Rapini"					0		"L. Rossi"	1981	04	16				Brasil	"Minas Gerais"	"GRÃO MOGOL"	"Beira da estrada para Montes Claros."	0	0	-42.8897018432617	-16.5594005584717	67219											30/12/2006		
"2020-07-23 11:58:26-03"	CEPLAC	CEPEC	84050	"Minaria acerosa"	PreservedSpecimen	Plantae				Asclepiadaceae	Minaria	acerosa			"A. Rapini"					0		"J. R. Pirani"	1982	03	20				Brasil	"Minas Gerais"	"SANTANA DO PIRAPAMA"	"Faz. Inhame."	-43.9	0														30/12/2006		
"2020-07-23 11:58:26-03"	CEPLAC	CEPEC	12503	"Minaria cordata"	PreservedSpecimen	Plantae				Asclepiadaceae	Minaria	cordata			"A. Rapini"					15264		"R. M. Harley"	1989	09	22				Brasil	Bahia	"RIO DE CONTAS"	"10Km ao N da cidade, Rod. p/ povoado Mato Grosso."	-41.833333	-13.466667														30/12/2006		
"2020-07-23 11:58:26-03"	CEPLAC	CEPEC	12504	"Minaria cordata"	PreservedSpecimen	Plantae				Asclepiadaceae	Minaria	cordata			"A. Rapini"					15264		"R. M. Harley"	1977	03	19				Brasil	Bahia	"RIO DE CONTAS"	"Ca. 6Km ao N da cidade, Rod. p/ Abaira."	-41.783333	-13.55														30/12/2006		
"2020-07-23 11:58:26-03"	CEPLAC	CEPEC	19586	"Minaria cordata"	PreservedSpecimen	Plantae				Asclepiadaceae	Minaria	cordata			"A. Rapini"					19977		"R. M. Harley"	1977	03	24				Brasil	Bahia	"RIO DE CONTAS"	"Ca. 1Km ao S do povoado de Mato Grosso, Rod. p/ Vila do Rio de Contas."	-41.816667	-13.483333														30/12/2006		
"2020-07-23 11:58:26-03"	CEPLAC	CEPEC	19589	"Minaria cordata"	PreservedSpecimen	Plantae				Asclepiadaceae	Minaria	cordata			"A. Rapini"					20151		"R. M. Harley"	1977	03	28				Brasil	Bahia	"RIO DE CONTAS"	"Entre 2.5 e 5Km ao S da Vila do Rio de Contas, ao W da Rod. p/ Livramento."	-41.833333	-13.6														30/12/2006		
"2020-07-23 11:58:26-03"	CEPLAC	CEPEC	20790	"Minaria cordata"	PreservedSpecimen	Plantae				Asclepiadaceae	Minaria	cordata			"A. Rapini"					13518		"S. A. Mori"	1979	10	29				Brasil	Bahia	"RIO DE CONTAS"	"5Km ao NW da cidade. Serra das Almas."	0	0	-41.8114013671875	-13.5789003372192	49773											30/12/2006		
"2020-07-23 11:58:26-03"	CEPLAC	CEPEC	38369	"Minaria cordata"	PreservedSpecimen	Plantae				Asclepiadaceae	Minaria	cordata			"A. Rapini"					72751		"R. Kral"	1985	07	13				Brasil	Bahia	"RIO DE CONTAS"	"Ca. 19Km ao SW da cidade, campo próx. a Rod. para o Pico das Almas."	0	0	-41.8114013671875	-13.5789003372192	49773											30/12/2006		
"2020-07-23 11:58:26-03"	CEPLAC	CEPEC	46890	"Minaria cordata"	PreservedSpecimen	Plantae				Asclepiadaceae	Minaria	cordata			"A. Rapini"					27233		"R. M. Harley"	1983	05	15				Brasil	Bahia	"ÁGUA QUENTE"	"Pico das Almas. Vale ao NW do Pico das Almas."	-41.983333	-13.5														30/12/2006		
