"taxa","suggested"
"Vellozia torquata","Vellozia torquata"
"Vellozia tragacantha","Vellozia tragacantha"
"Vellozia tubiflora","Vellozia tubiflora"
"Vellozia undesignated",NA
"Vellozia variabilis","Vellozia variabilis"
"Vellozia variegata","Vellozia variegata"
"Vellozia verruculosa","Vellozia verruculosa"
"Vellozia virgata","Vellozia virgata"
"Vellozia warcescens","Vellozia marcescens"
"Vellozia wasshausenii","Vellozia wasshausenii"
"Xerophyta giuliettiae",NA
"Xerophyta minima","Xerophyta minima"
"Xerophyta scoparia",NA
"Xerophyta sellovii","Xerophyta sellowii"
"Xerophyta sellowii","Xerophyta sellowii"
"Xerophyta tomentosa",NA
"Xerophyta tragacantha","Xerophyta tragacantha"
"Xerophyta velutina","Xerophyta abietina"
