gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
1252648903	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619055.jpg	http://specimens.kew.org/herbarium/K001066874									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648902	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619086.jpg	http://specimens.kew.org/herbarium/K001066905									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648900	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619076.jpg	http://specimens.kew.org/herbarium/K001066895									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648899	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619044.jpg	http://specimens.kew.org/herbarium/K001066863									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648898	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619093.jpg	http://specimens.kew.org/herbarium/K001066912									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648897	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619078.jpg	http://specimens.kew.org/herbarium/K001066897									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648896	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619079.jpg	http://specimens.kew.org/herbarium/K001066898									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648895	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619037.jpg	http://specimens.kew.org/herbarium/K001066849									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648894	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619084.jpg	http://specimens.kew.org/herbarium/K001066903									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648893	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619059.jpg	http://specimens.kew.org/herbarium/K001066878									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648892	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619039.jpg	http://specimens.kew.org/herbarium/K001066851									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648891	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619043.jpg	http://specimens.kew.org/herbarium/K001066862									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648890	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619063.jpg	http://specimens.kew.org/herbarium/K001066882									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648889	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619051.jpg	http://specimens.kew.org/herbarium/K001066870									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648888	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619090.jpg	http://specimens.kew.org/herbarium/K001066909									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648887	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619060.jpg	http://specimens.kew.org/herbarium/K001066879									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648886	StillImage	image/jpeg	http://www.kew.org/herbcatimg/630600.jpg	http://specimens.kew.org/herbarium/K001066929									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648885	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619082.jpg	http://specimens.kew.org/herbarium/K001066901									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648884	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619036.jpg	http://specimens.kew.org/herbarium/K001066848									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648883	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619052.jpg	http://specimens.kew.org/herbarium/K001066871									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648882	StillImage	image/jpeg	http://www.kew.org/herbcatimg/615834.jpg	http://specimens.kew.org/herbarium/K001066854									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648881	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619064.jpg	http://specimens.kew.org/herbarium/K001066883									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
1252648879	StillImage	image/jpeg	http://www.kew.org/herbcatimg/619065.jpg	http://specimens.kew.org/herbarium/K001066884									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
