datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2014-09-23 10:58:31-03"	G	G	G00227393	"Diplusodon thymifolius"	S	Plantae				Lythraceae	Diplusodon	thymifolius		DC.	?				"TYPUS of Diplusodon thymifolius var. [gamma] Koehne"	4139		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206418&base=img&lang=en"	G00227393
"2014-09-23 10:58:31-03"	G	G	G00227394	"Diplusodon thymifolius"	S	Plantae				Lythraceae	Diplusodon	thymifolius		DC.	?				"TYPUS of Diplusodon thymifolius var. [beta] Koehne"	4136		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206415&base=img&lang=en"	G00227394
"2014-09-23 10:58:31-03"	G	G	G00227342	"Diplusodon uninerius"	S	Plantae				Lythraceae	Diplusodon	uninerius		Koehne	?				"TYPUS of Diplusodon uninerius Koehne"	909		"Riedel, L."						"AMERIQUE DU SUD"	Brazil				-53.08972222	-10.77305556															"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=205991&base=img&lang=en"	G00227342
"2014-09-23 10:58:31-03"	G	G	G00227341	"Diplusodon villosus"	S	Plantae				Lythraceae	Diplusodon	villosus		Pohl	?				"ISOLECTOTYPUS of Diplusodon humilis Koehne"	21423		"Glaziou, A. F. M."						"AMERIQUE DU SUD"	Brazil				-53.08972222	-10.77305556															"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=205977&base=img&lang=en"	G00227341
"2014-10-09 13:58:24-03"	UHH	HBG	522889	"Diplusodon astictus"	S	Plantae				Lythraceae	Diplusodon	astictus		Lourteig	"Lourteig, A."	1970	04			"2929 (75)"		"Ule, E."	1892	09				"South America"	Brazil			"auf Campos bei Salto"	0	0					1200	1300										HBG522889
"2014-10-09 13:58:24-03"	UHH	HBG	522888	"Diplusodon ciliatiflorus"	S	Plantae				Lythraceae	Diplusodon	ciliatiflorus		"T.B. Calvalc."	"Cavalcanti, T.B."	1994			Paratype	54783		"Hatschbach, G. & M. & Silva, J.M."	1990	10	19			"South America"	Brazil			"Parque Nacional Chapada dos Veadeiros, entre São Jorge e Rio Preto (mun. Alto Paraíso), Goias, campo rupestre, solo rochoso"	0	0																HBG522888
"2014-10-14 15:56:52-03"	BS	M	M-0146283	"Diplusodon buxifolius"	S	Plantae	Magnoliophyta	Magnoliopsida	Myrtales	Lythraceae	Diplusodon	buxifolius		"(Cham. & Schltdl.) DC."					NOTATYPE			"Martius, C.F.P. von"							Brasil				0	0																M0146283
"2014-10-14 15:56:52-03"	BS	M	M-0146284	"Diplusodon buxifolius"	S	Plantae	Magnoliophyta	Magnoliopsida	Myrtales	Lythraceae	Diplusodon	buxifolius		"(Cham. & Schltdl.) DC."					NOTATYPE			"Martius, C.F.P. von"							Brasil				0	0																M0146284
"2014-10-14 15:56:52-03"	BS	M	M-0146285	"Diplusodon buxifolius"	S	Plantae	Magnoliophyta	Magnoliopsida	Myrtales	Lythraceae	Diplusodon	buxifolius		"(Cham. & Schltdl.) DC."					NOTATYPE			"Martius, C.F.P. von"							Brasil				0	0																M0146285
"2014-10-14 15:56:52-03"	BS	M	M-0146286	"Diplusodon buxifolius"	S	Plantae	Magnoliophyta	Magnoliopsida	Myrtales	Lythraceae	Diplusodon	buxifolius		"(Cham. & Schltdl.) DC."					NOTATYPE			"Martius, C.F.P. von"							Brasil			Brasil.	0	0																M0146286
