country,major area,minor area,centroid (lat),centroid (long),distance (km)
Argentina,La Pampa,Chical Có,-36.39927803,-67.68519246,70.6231898723
Argentina,La Pampa,Conhelo,-36.03794791,-64.50340646,59.7650398162
Argentina,La Pampa,Curacó,-38.18537846,-66.311084,86.7338130446
Argentina,La Pampa,Guatraché,-37.49402018,-63.77992088,42.5960919655
Argentina,La Pampa,Hucal,-37.98722077,-63.9508158,57.5586971826
Argentina,La Pampa,Lihuel Calel,-38.26545409,-65.07940184,81.7442678207
Argentina,La Pampa,Limay Mahuida,-37.24623189,-66.53651603,70.9916048125
Argentina,La Pampa,Loventué,-36.48198218,-65.51780367,69.1454930245
Argentina,La Pampa,Maracó,-35.68643376,-63.66228279,35.3539772846
Argentina,La Pampa,Puelén,-37.43935263,-67.59263065,113.9460524266
Argentina,La Pampa,Quemú Quemú,-36.13877024,-63.66272894,35.1822671474
Argentina,La Pampa,Rancul,-35.40392063,-64.79527945,53.4294477986
Argentina,La Pampa,Realicó,-35.22922294,-64.21162899,35.7819655953
Argentina,La Pampa,Toay,-36.67053473,-64.68275948,58.4754048649
Argentina,La Pampa,Trenel,-35.63824165,-64.21162649,31.9248969132
Argentina,La Pampa,Utracán,-37.34302697,-65.06845541,91.064950903
Argentina,La Rioja,Arauco,-28.53673775,-66.72395578,43.1508254989
Argentina,La Rioja,Capital,-29.46064122,-66.35001247,88.8767867128
Argentina,La Rioja,Castro Barros,-28.85998671,-66.91858167,35.4483320863
Argentina,La Rioja,Chamical,-30.16636207,-65.95274538,53.8824301965
Argentina,La Rioja,Chilecito,-29.3962318,-67.42790825,64.1588221909
Argentina,La Rioja,Coronel Felipe Varela,-29.44554889,-68.32343495,82.2450147508
Argentina,La Rioja,Famatina,-28.69513602,-67.55872286,52.3000209176
Argentina,La Rioja,General Angel Vicente Peñaloza,-30.31304862,-66.66296768,56.5995814573
Argentina,La Rioja,General Belgrano,-30.5779606,-65.93702641,48.1096439989
Argentina,La Rioja,General Juan Facundo Quiroga,-30.81102358,-66.8300578,65.251369769
Argentina,La Rioja,General Lamadrid,-28.79592415,-68.69074464,103.7293417115
Argentina,La Rioja,General Ocampo,-31.00717316,-66.0606548,48.3239693372
Argentina,La Rioja,General San Martín,-31.64684166,-66.15480603,67.7190498893
Argentina,La Rioja,Independencia,-30.1100304,-67.32751452,65.4995343879
Argentina,La Rioja,Rosario Vera Peñaloza,-31.42574455,-66.67793021,56.532612049
Argentina,La Rioja,San Blas de los Sauces,-28.53772912,-67.15709174,40.9339411614
Argentina,La Rioja,Sanagasta,-29.15852788,-67.06588023,35.2986097386
Argentina,La Rioja,Vinchina,-28.31019178,-68.52367281,102.6144806738
Argentina,Mendoza,Capital,-32.88433832,-68.89418021,7.5799981217
Argentina,Mendoza,General Alvear,-35.20485768,-67.08516734,97.5667495242
Argentina,Mendoza,Godoy Cruz,-32.93203493,-68.88704395,8.7621585813
Argentina,Mendoza,Guaymallén,-32.88159013,-68.71610348,11.9017376971
Argentina,Mendoza,Junín,-33.14431794,-68.48194073,20.2621042692
Argentina,Mendoza,La Paz,-33.69439293,-67.27298322,76.5132843104
Argentina,Mendoza,Las Heras,-32.52205239,-69.26088578,85.7265541562
Argentina,Mendoza,Lavalle,-32.57365038,-67.8989106,88.8937313274
Argentina,Mendoza,Luján de Cuyo,-33.04028579,-69.45094179,77.2189843269
Argentina,Mendoza,Maipú,-32.9829179,-68.65796805,21.980300702
Argentina,Mendoza,Malargüe,-36.15457471,-69.31207756,184.6475198402
Argentina,Mendoza,Rivadavia,-33.41652381,-68.60175678,39.9177626397
Argentina,Mendoza,San Carlos,-34.07101626,-69.09133651,99.3958650042
Argentina,Mendoza,San Martín,-32.91171594,-68.28754642,36.1285962581
Argentina,Mendoza,San Rafael,-34.94918097,-68.3706334,173.1448210139
Argentina,Mendoza,Santa Rosa,-33.60773685,-67.9617538,87.0019255461
Argentina,Mendoza,Tunuyán,-33.62537553,-69.50192775,47.0485559737
Argentina,Mendoza,Tupungato,-33.29301253,-69.30030112,47.3499792852
Argentina,Misiones,Apóstoles,-27.88284614,-55.67595133,27.2342356575
Argentina,Misiones,Cainguás,-27.14323418,-54.80225093,31.0363841115
Argentina,Misiones,Candelaria,-27.4576541,-55.58005509,30.1223004568
Argentina,Misiones,Capital,-27.55247589,-55.85765451,30.8147665648
Argentina,Misiones,Concepción,-27.92956013,-55.46480844,27.6716842742
Argentina,Misiones,Eldorado,-26.31654899,-54.42257527,33.6959612429
Argentina,Misiones,General Manuel Belgrano,-26.0137178,-53.96013474,58.9606603331
Argentina,Misiones,Guaraní,-27.02718371,-54.26699323,46.7191924892
Argentina,Misiones,Iguazú,-25.87765384,-54.4052564,43.3751101912
Argentina,Misiones,Leandro N. Alem,-27.62560362,-55.38598362,27.0502599148
Argentina,Misiones,Libertador General San Martín,-26.89107612,-54.91686782,30.4676379605
Argentina,Misiones,Montecarlo,-26.65596378,-54.56144611,34.8571197127
Argentina,Misiones,Oberá,-27.47240114,-55.06924683,36.2571525145
Argentina,Misiones,San Ignacio,-27.17360244,-55.33778797,32.7160031124
Argentina,Misiones,San Javier,-27.77416968,-55.16430738,22.0165872072
