taxa,suggested,corrected,obs
Mimosa filiformis,Mimosa graminiformis,Mimosa filiformis,incorrect suggestion; accepted name
Mimosa filipes,Mimosa filipes,Mimosa filipes,
Mimosa flabellifolia,Mimosa flabellifolia,Mimosa flabellifolia,
Mimosa flavocaesia,Mimosa flavocaesia,Mimosa flavocaesia,
Mimosa flocculosa,Mimosa flocculosa,Mimosa flocculosa,
Mimosa foliolosa antana,Mimosa foliolosa var. antana,Mimosa foliolosa var. antana,
Mimosa foliolosa brevibractea,Mimosa foliolosa var. brevibractea,Mimosa foliolosa var. brevibractea,
Mimosa foliolosa brevipinna,Mimosa foliolosa var. brevipinna,Mimosa foliolosa var. brevipinna,
Mimosa foliolosa cercadoensis,Mimosa foliolosa var. cercadoensis,Mimosa foliolosa var. cercadoensis,
Mimosa foliolosa corpulenta,Mimosa foliolosa var. corpulenta,Mimosa foliolosa var. corpulenta,
Mimosa foliolosa foederalis,Mimosa foliolosa var. foederalis,Mimosa foliolosa var. foederalis,
Mimosa foliolosa foliolosa,Mimosa foliolosa var. foliolosa,Mimosa foliolosa var. foliolosa,
Mimosa foliolosa franciscana,Mimosa foliolosa var. franciscana,Mimosa foliolosa var. franciscana,
Mimosa foliolosa grandibractea,Mimosa foliolosa var. grandibractea,Mimosa foliolosa var. grandibractea,
Mimosa foliolosa gravida,Mimosa foliolosa var. gravida,Mimosa foliolosa var. gravida,
Mimosa foliolosa multipinna,Mimosa foliolosa var. multipinna,Mimosa foliolosa var. multipinna,
Mimosa foliolosa,Mimosa foliolosa,Mimosa foliolosa,
Mimosa foliolosa pachycarpa,Mimosa foliolosa var. pachycarpa,Mimosa foliolosa var. pachycarpa,
Mimosa foliolosa paranani,Mimosa foliolosa var. paranani,Mimosa foliolosa var. paranani,
Mimosa foliolosa peregrina,Mimosa foliolosa var. peregrina,Mimosa foliolosa var. peregrina,
Mimosa foliolosa pubescens,Mimosa foliolosa var. pubescens,Mimosa foliolosa var. pubescens,
Mimosa foliolosa rigens,Mimosa foliolosa var. rigens,Mimosa foliolosa var. rigens,
